original,translation,phonetics,format,notes
בַּמֶּה מַדְלִיקִין,BAME MADLIKÍN,,part,
"Fuente del texto hebreo: Sefaria, Torat Emet 357, http://www.toratemetfreeware.com/index.html?downloads, licencia indicada como unknown","Fuente del texto hebreo: Sefaria, Torat Emet 357, http://www.toratemetfreeware.com/index.html?downloads, licencia indicada como unknown",,license,
"Fuente auxiliar inglesa: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente auxiliar inglesa: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
"Fuente auxiliar para Mishná Shabat 2, Shabat 12a y Berajot 64a: Sefaria, William Davidson Edition - English, licencia CC-BY-NC","Fuente auxiliar para Mishná Shabat 2, Shabat 12a y Berajot 64a: Sefaria, William Davidson Edition - English, licencia CC-BY-NC",,license,
בַּמֶּה מַדְלִיקִין,¿Con qué encendemos,bamé madlikín,,
וּבַמָּה אֵין מַדְלִיקִין.,y con qué no encendemos?,uvamá ein madlikín.,,
אֵין מַדְלִיקִין,No se enciende,ein madlikín,,
"לֹא בְלֶכֶשׁ,","ni con estopa de cedro,","lo velejesh,",,
"וְלֹא בְחֹסֶן,","ni con lino sin peinar,","veló vejosén,",,
"וְלֹא בְכָלָךְ,","ni con seda cruda,","veló vejaloj,",,
"וְלֹא בִפְתִילַת הָאִידָן,","ni con mecha de sauce,","veló viftilat haidán,",,
"וְלֹא בִפְתִילַת הַמִּדְבָּר,","ni con mecha del desierto,","veló viftilat hamidbar,",,
וְלֹא בִירוֹקָה,ni con [el] verdín,veló viroká,,
שֶׁעַל פְּנֵי הַמָּיִם.,que [está] sobre [la] superficie del agua.,sheal penéi hamayim.,,
"וְלֹא בְזֶפֶת,","Tampoco con brea,","veló vezefet,",,
"וְלֹא בְשַׁעֲוָה,","ni con cera,","veló veshaavá,",,
"וְלֹא בְשֶׁמֶן קִיק,","ni con aceite de ricino,","veló veshemén kik,",,
"וְלֹא בְשֶׁמֶן שְׂרֵפָה,","ni con aceite de quema,","veló veshemén serefá,",,
"וְלֹא בְאַלְיָה,","ni con grasa de cola [de oveja],","veló vealyá,",,
וְלֹא בְחֵלֶב.,ni con sebo.,veló vejelev.,,
נַחוּם הַמָּדִי,Najum el Medo,najum hamadí,,
"אוֹמֵר,",dice:,"omer,",,
מַדְלִיקִין בְּחֵלֶב מְבֻשָּׁל.,«Se enciende con sebo cocido».,madlikín bejelev mevushal.,,
"וַחֲכָמִים אוֹמְרִים,",Y [los] Sabios dicen:,"vajajamim omrim,",,
אֶחָד מְבֻשָּׁל,«Tanto [si está] cocido,ejad mevushal,,
"וְאֶחָד שֶׁאֵינוֹ מְבֻשָּׁל,","como [si] no está cocido,","veejad sheeinó mevushal,",,
אֵין מַדְלִיקִין בּוֹ:,no se enciende con él».,ein madlikín bo:,,
,,,break,
אֵין מַדְלִיקִין,No se enciende,ein madlikín,,
בְּשֶׁמֶן שְׂרֵפָה,con aceite de quema,beshemén serefá,,
בְּיוֹם טוֹב.,en Yom Tov.,beyom tov.,,
רַבִּי יִשְׁמָעֵאל,Rabí Ishmael,rabí yishmael,,
"אוֹמֵר,",dice:,"omer,",,
"אֵין מַדְלִיקִין בְּעִטְרָן,","«No se enciende con alquitrán,","ein madlikín beitrán,",,
מִפְּנֵי כְבוֹד הַשַּׁבָּת.,por causa del honor del Shabat».,mipenéi jevod hashabat.,,
וַחֲכָמִים מַתִּירִין,Y [los] Sabios permiten,vajajamim matirín,,
"בְּכָל הַשְּׁמָנִים,",con todos los aceites:,"bejol hashemanim,",,
"בְּשֶׁמֶן שֻׁמְשְׁמִין,","con aceite de sésamo,","beshemén shumshemín,",,
"בְּשֶׁמֶן אֱגוֹזִים,","con aceite de nueces,","beshemén egozim,",,
"בְּשֶׁמֶן צְנוֹנוֹת,","con aceite de rábanos,","beshemén tzenonot,",,
"בְּשֶׁמֶן דָּגִים,","con aceite de pescado,","beshemén dagim,",,
"בְּשֶׁמֶן פַּקּוּעוֹת,","con aceite de calabazas silvestres,","beshemén pakuot,",,
בְּעִטְרָן,con alquitrán,beitrán,,
וּבְנֵפְט.,y con nafta.,uveneft.,,
רַבִּי טַרְפוֹן,Rabí Tarfón,rabí tarfón,,
"אוֹמֵר,",dice:,"omer,",,
אֵין מַדְלִיקִין,«No se enciende,ein madlikín,,
אֶלָּא בְשֶׁמֶן זַיִת,sino con aceite de oliva,elá veshemén zayit,,
בִּלְבָד:,solamente».,bilvad:,,
,,,break,
כָּל הַיּוֹצֵא,Todo lo que sale,kol hayotzé,,
מִן הָעֵץ,"del árbol,",min haetz,,
אֵין מַדְלִיקִין בּוֹ,no se enciende con ello,ein madlikín bo,,
אֶלָּא פִשְׁתָּן.,salvo [el] lino.,elá fishtán.,,
וְכָל הַיּוֹצֵא,Y todo lo que sale,vejal hayotzé,,
מִן הָעֵץ,del árbol,min haetz,,
אֵינוֹ מִטַּמֵּא,no contrae,einó mitamé,,
טֻמְאַת אֹהָלִים,"impureza de tiendas,",tumat ohalim,,
אֶלָּא פִשְׁתָּן.,salvo [el] lino.,elá fishtán.,,
פְּתִילַת הַבֶּגֶד,[La] mecha de [una] tela,petilat habeged,,
שֶׁקִּפְּלָהּ,que [uno] plegó,shekipelah,,
"וְלֹא הִבְהֲבָהּ,",y no chamuscó:,"veló hivhavah,",,
רַבִּי אֱלִיעֶזֶר,Rabí Eliezer,rabí eliezer,,
"אוֹמֵר,",dice:,"omer,",,
"טְמֵאָה,",«[Es] impura,"temeá,",,
וְאֵין מַדְלִיקִין בָּהּ.,y no se enciende con ella».,veéin madlikín bah.,,
רַבִּי עֲקִיבָא,Rabí Akiva,rabí akivá,,
"אוֹמֵר,",dice:,"omer,",,
"טְהוֹרָה,",«[Es] pura,"tehorá,",,
וּמַדְלִיקִין בָּהּ:,y se enciende con ella».,umadlikín bah:,,
,,,break,
לֹא יִקֹּב אָדָם,Que [una] persona no perfore,lo yikov adam,,
שְׁפוֹפֶרֶת שֶׁל בֵּיצָה,un cascarón de huevo,shefoferet shel beitzá,,
וִימַלְאֶנָּה שֶׁמֶן,y lo llene de aceite,vimalená shemén,,
וְיִתְּנֶנָּה,y lo coloque,veyitenená,,
עַל פִּי הַנֵּר,sobre [la] boca de la lámpara,al pi haner,,
"בִּשְׁבִיל שֶׁתְּהֵא מְנַטֶּפֶת,","para que esté goteando,","bishvil shetehé menatefet,",,
אֲפִלּוּ הִיא,incluso si es,afilú hi,,
שֶׁל חֶרֶס.,de barro.,shel jerés.,,
וְרַבִּי יְהוּדָה,Y Rabí Yehudá,verabí yehudá,,
מַתִּיר.,permite.,matir.,,
אֲבָל אִם,Pero si,aval im,,
חִבְּרָהּ הַיּוֹצֵר,lo unió el alfarero,jiberah hayotzer,,
"מִתְּחִלָּה,","desde [el] principio,","mitejilá,",,
"מֻתָּר,","[está] permitido,","mutar,",,
מִפְּנֵי שֶׁהוּא,porque es,mipenéi shehú,,
כְלִי אֶחָד.,un solo recipiente.,jelí ejad.,,
לֹא יְמַלֵּא אָדָם,Que [una] persona no llene,lo yemalé adam,,
אֶת הַקְּעָרָה שֶׁמֶן,[el] cuenco [con] aceite,et hakeará shemén,,
וְיִתְּנֶנָּה,y lo coloque,veyitenená,,
בְצַד הַנֵּר,al lado de la lámpara,vetzad haner,,
וְיִתֵּן רֹאשׁ,y ponga [la] punta,veyitén rosh,,
"הַפְּתִילָה בְתוֹכָהּ,","de la mecha dentro de él,","hapetilá vetojah,",,
בִּשְׁבִיל שֶׁתְּהֵא שׁוֹאֶבֶת.,para que esté absorbiendo.,bishvil shetehé shoevet.,,
וְרַבִּי יְהוּדָה,Y Rabí Yehudá,verabí yehudá,,
מַתִּיר:,permite.,matir:,,
,,,break,
הַמְכַבֶּה אֶת הַנֵּר,Quien apaga la lámpara,hamjabé et haner,,
מִפְּנֵי שֶׁהוּא מִתְיָרֵא,porque tiene miedo,mipenéi shehú mityaré,,
"מִפְּנֵי גוֹיִם,","a causa de gentiles,","mipenéi goyim,",,
"מִפְּנֵי לִסְטִים,","a causa de ladrones,","mipenéi listim,",,
"מִפְּנֵי רוּחַ רָעָה,","a causa de [un] espíritu malo,","mipenéi rujá raá,",,
וְאִם בִּשְׁבִיל הַחוֹלֶה,o si [es] por [el] enfermo,veim bishvil hajolé,,
"שֶׁיִּישַׁן,","para que duerma,","sheyishán,",,
פָּטוּר.,[está] exento.,patur.,,
"כְּחָס עַל הַנֵּר,","[Pero quien apaga] por cuidar la lámpara,","kejás al haner,",,
"כְּחָס עַל הַשֶּׁמֶן,","por cuidar el aceite,","kejás al hashemén,",,
"כְּחָס עַל הַפְּתִילָה,","por cuidar la mecha,","kejás al hapetilá,",,
חַיָּב.,[es] responsable.,jayav.,,
וְרַבִּי יוֹסֵי,Y Rabí Yosei,verabí yoséi,,
פּוֹטֵר בְּכֻלָּן,exime en todos [los casos],poter bejulán,,
"חוּץ מִן הַפְּתִילָה,","excepto [en el de] la mecha,","jutz min hapetilá,",,
מִפְּנֵי שֶׁהוּא,porque él,mipenéi shehú,,
עוֹשָׂהּ פֶּחָם:,la hace carbón.,osah pejam:,,
,,,break,
עַל שָׁלשׁ עֲבֵרוֹת,Por tres transgresiones,al shalsh averot,,
נָשִׁים מֵתוֹת,[las] mujeres mueren,nashim metot,,
"בִּשְׁעַת לֵדָתָן,",en [el] momento de dar a luz:,"bishat ledatán,",,
עַל שֶׁאֵינָן זְהִירוֹת,porque no son cuidadosas,al sheeinán zehirot,,
בַּנִּדָּה,"con [la] nidá,",banidá,,
וּבַחַלָּה,con [la] jalá,uvajalá,,
וּבְהַדְלָקַת הַנֵּר:,y con [el] encendido de la lámpara.,uvehadlakat haner:,,
,,,break,
שְׁלשָׁה דְבָרִים,Tres cosas,shelshá devarim,,
צָרִיךְ אָדָם לוֹמַר,debe [una] persona decir,tzarij adam lomar,,
בְּתוֹךְ בֵּיתוֹ,dentro de su casa,betoj beitó,,
עֶרֶב שַׁבָּת,[la] víspera de Shabat,erev shabat,,
עִם חֲשֵׁכָה.,al anochecer:,im jashejá.,,
עִשַּׂרְתֶּם.,«¿Diezmaron?,isartem.,,
עֵרַבְתֶּם.,¿Hicieron [el] eruv?,eravtem.,,
הַדְלִיקוּ אֶת הַנֵּר.,Enciendan la lámpara».,hadlikú et haner.,,
סָפֵק חֲשֵׁכָה,"Si [es] dudoso [si] oscureció,",safek jashejá,,
"סָפֵק אֵין חֲשֵׁכָה,","dudoso [si] no oscureció,","safek ein jashejá,",,
אֵין מְעַשְּׂרִין,no se diezma,ein measerín,,
"אֶת הַוַּדַּאי,","[producto] ciertamente [no diezmado],","et havaday,",,
וְאֵין מַטְבִּילִין,y no se sumergen,veéin matbilín,,
"אֶת הַכֵּלִים,","los utensilios,","et hakelim,",,
וְאֵין מַדְלִיקִין,y no se encienden,veéin madlikín,,
"אֶת הַנֵּרוֹת,",las lámparas;,"et hanerot,",,
אֲבָל מְעַשְּׂרִין,pero se diezma,aval measerín,,
"אֶת הַדְּמַאי,","[el] demai,","et hademay,",,
"וּמְעָרְבִין,",se hace [el] eruv,"umeorvín,",,
וְטוֹמְנִין,y se aísla,vetomnín,,
אֶת הַחַמִּין:,[el agua] caliente.,et hajamín:,,
,,,break,
"תַּנְיָא,","Fue enseñado,","tanyá,",,
חֲנַנְיָא אוֹמֵר:,Jananiá dice:,jananyá omer:,,
חַיָּיב אָדָם,«Está obligada [una] persona,jayayv adam,,
לְמַשְׁמֵשׁ בְּבִגְדוֹ,a revisar su vestimenta,lemashmesh bevigdó,,
עֶרֶב שַׁבָּת,[la] víspera de Shabat,erev shabat,,
עִם חֲשֵׁכָה,"al anochecer,",im jashejá,,
שֶׁמָּא יִשְׁכַּח,no sea que olvide,shemá yishkaj,,
וְיֵצֵא.,y salga [llevando algo]».,veyetzé.,,
אָמַר רַב יוֹסֵף:,Dijo Rav Yosef:,amar rav yosef:,,
הִלְכְתָא רַבָּתִי,«¡[Es una] gran halajá,hiljetá rabatí,,
לְשַׁבָּתָא.,para Shabat!».,leshabatá.,,
,,,break,
אָמַר רַבִּי אֶלְעָזָר,"Dijo Rabí Elazar,",amar rabí elazar,,
אָמַר רַבִּי חֲנִינָא.,dijo Rabí Janiná:,amar rabí janiná.,,
תַּלְמִידֵי חֲכָמִים,«[Los] discípulos de [los] Sabios,talmidéi jajamim,,
מַרְבִּים שָׁלוֹם,aumentan [la] paz,marbim shalom,,
בָּעוֹלָם.,"en el mundo,",baolam.,,
שֶׁנֶּאֱמַר,pues fue dicho:,sheneemar,,
וְכָל בָּנַֽיִךְ,“Y todos tus hijos,vejal banáyij,,
לִמּוּדֵי יְהֹוָה,"[serán] discípulos de Adonai,",limudéi Adonai,,
וְרַב שְׁלוֹם,y grande [será la] paz,verav shelom,,
בָּנָֽיךְ:,de tus hijos”.,banayj:,,
אַל תִּקְרֵי,No leas,al tikréi,,
בָּנָֽיךְ,"banáij, “tus hijos”,",banayj,,
אֶלָּא בּוֹנָֽיךְ:,"sino bonáij, “tus constructores”.",elá bonayj:,,
שָׁלוֹם רָב,Paz abundante [hay],shalom rav,,
לְאֹהֲבֵי תוֹרָתֶֽךָ,"para quienes aman Tu Torá,",leohavéi torateja,,
וְאֵין לָֽמוֹ,y no [hay] para ellos,veéin lamo,,
מִכְשׁוֹל:,tropiezo.,mijshol:,,
יְהִי שָׁלוֹם,Haya paz,yehí shalom,,
בְּחֵילֵךְ,"dentro de tu muralla,",bejeilej,,
שַׁלְוָה,serenidad,shalvá,,
בְּאַרְמְּנוֹתָֽיךְ,dentro de tus palacios.,bearmenotayj,,
לְמַֽעַן אַחַי וְרֵעָי,"Por causa de mis hermanos y mis compañeros,",lemaan ajay vereay,,
אֲדַבְּרָה נָא,"hablaré, por favor:",adaberá na,,
שָׁלוֹם בָּךְ:,“Paz [haya] dentro de ti”.,shalom boj:,,
לְמַֽעַן בֵּית יְהֹוָה,"Por causa de [la] Casa de Adonai,",lemaan beit Adonai,,
אֱלֹהֵֽינוּ,"nuestro Dios,",eloheinu,,
אֲבַקְ֒שָׁה טוֹב לָךְ:,buscaré [el] bien para ti.,avaksha tov loj:,,
יְהֹוָה עוֹז,Adonai fuerza,Adonai oz,,
לְעַמּוֹ,a Su pueblo,leamó,,
יִתֵּן,dará;,yitén,,
יְהֹוָה,Adonai,Adonai,,
יְבָרֵךְ,bendecirá,yevarej,,
אֶת־עַמּוֹ בַּשָּׁלוֹם:,a Su pueblo con paz».,et-amó bashalom:,,
