original,translation,phonetics,format,notes
אֲדוֹן עוֹלָם,ADON OLAM,,part,
"Fuente auxiliar: Sefaria, The Metsudah siddur, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente auxiliar: Sefaria, The Metsudah siddur, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
"Fuente auxiliar: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente auxiliar: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
אֲדוֹן,Señor,Adon,,
עוֹלָם,[del] mundo,olam,,
אֲשֶׁר,que,asher,,
מָלַךְ,"reinó,",malakh,,
בְּטֶֽרֶם,antes [de que],be-terem,,
כָּל,toda,kol,,
יְצִיר,criatura,yetzir,,
נִבְרָא:,fuera creada:,nivra,,
לְעֵת,Cuando,le-et,,
נַעֲשָׂה,fue hecho,na'asa,,
בְחֶפְצוֹ,[por] Su voluntad,ve-jeftzo,,
כֹּל,"todo,",kol,,
אֲזַי,entonces,azai,,
מֶֽלֶךְ,Rey,melekh,,
שְׁמוֹ,Su nombre,shemo,,
נִקְרָא:,fue llamado:,nikra,,
,,,break,
וְאַחֲרֵי,Y después,ve-ajarei,,
כִּכְלוֹת,[de] acabarse,kikhlot,,
הַכֹּל,"todo,",ha-kol,,
לְבַדּוֹ,Él solo,levado,,
יִמְלֹךְ,reinará,yimlokh,,
נוֹרָא:,[el] Temible:,nora,,
וְהוּא,Y Él,ve-hu,,
הָיָה,fue,haya,,
וְהוּא,y Él,ve-hu,,
הֹוֶה,"es,",hove,,
וְהוּא,y Él,ve-hu,,
יִהְיֶה,será,yihye,,
בְּתִפְאָרָה:,[en] gloria:,be-tifara,,
,,,break,
וְהוּא,Y Él,ve-hu,,
אֶחָד,Uno,ejad,,
וְאֵין,y no hay,ve-ein,,
שֵׁנִי,segundo,sheni,,
לְהַמְשִׁיל,[para] compararse,le-hamshil,,
לוֹ,[a] Él,lo,,
לְהַחְבִּֽירָה:,[ni para] asociarse,le-hajbira,,
בְּלִי,Sin,beli,,
רֵאשִׁית,principio,reshit,,
בְּלִי,sin,beli,,
תַכְלִית,"fin,",tajlit,,
וְלוֹ,y Suyo,ve-lo,,
הָעֹז,[es] el poder,ha-oz,,
וְהַמִּשְׂרָה:,y el dominio:,ve-ha-misra,,
,,,break,
וְהוּא,Y Él,ve-hu,,
אֵלִי,mi Dios,Eli,,
וְחַי,y viviente,ve-jai,,
גּוֹאֲלִי,"mi Redentor,",go'ali,,
וְצוּר,y roca,ve-tzur,,
חֶבְלִי,[de] mi porción,jevli,,
בְּעֵת,en tiempo [de],be-et,,
צָרָה:,angustia:,tzara,,
וְהוּא,Y Él,ve-hu,,
נִסִּי,mi estandarte,nisi,,
וּמָנוֹס,y refugio,u-manos,,
לִי,"para mí,",li,,
מְנָת,porción [de],menat,,
כּוֹסִי,mi copa,kosi,,
בְּיוֹם,en [el] día,be-yom,,
אֶקְרָא:,[en que] llamaré:,ekra,,
,,,break,
בְּיָדוֹ,En Su mano,be-yado,,
אַפְקִיד,depositaré,afkid,,
רוּחִי,"mi espíritu,",ruji,,
בְּעֵת,en [el] tiempo [en que],be-et,,
אִישַׁן,duerma,ishan,,
וְאָעִֽירָה:,y despierte:,ve-a'ira,,
וְעִם,Y con,ve-im,,
רוּחִי,mi espíritu,ruji,,
גְּוִיָּתִי,"mi cuerpo,",geviyati,,
יְהֹוָה,Hashem,Adonai,,
לִי,[está] conmigo,li,,
וְלֹא,y no,ve-lo,,
אִירָא:,temeré:,ira,,
