original,translation,phonetics,format,notes
BAMEH MADLIKIN,BAMEH MADLIKIN,,part,
"Fuente auxiliar: Sefaria, Torat Emet 357, http://www.toratemetfreeware.com/index.html?downloads, licencia unknown","Fuente auxiliar: Sefaria, Torat Emet 357, http://www.toratemetfreeware.com/index.html?downloads, licencia unknown",,license,
"Fuente auxiliar: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente auxiliar: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
בַּמֶּה מַדְלִיקִין,"Con que se enciende,",bameh madlikin,,
וּבַמָּה אֵין מַדְלִיקִין.,y con que no se enciende?,uvamah ein madlikin.,,
אֵין מַדְלִיקִין,"No se enciende,",ein madlikin,,
"לֹא בְלֶכֶשׁ,","no con lejesh,","lo velejesh,",,
"וְלֹא בְחֹסֶן,","ni con josen,","velo vejosen,",,
"וְלֹא בְכָלָךְ,","ni con kalaj,","velo vejalaj,",,
"וְלֹא בִפְתִילַת הָאִידָן,","ni con mecha de idan,","velo viftilat ha-idan,",,
"וְלֹא בִפְתִילַת הַמִּדְבָּר,","ni con mecha del desierto,","velo viftilat hamidbar,",,
וְלֹא בִירוֹקָה,ni con la verdura,velo virvokah,,
שֶׁעַל פְּנֵי הַמָּיִם.,que esta sobre la superficie del agua.,sheal penei hamayim.,,
"וְלֹא בְזֶפֶת,","Ni con brea,","velo vezefet,",,
"וְלֹא בְשַׁעֲוָה,","ni con cera,","velo veshaavah,",,
"וְלֹא בְשֶׁמֶן קִיק,","ni con aceite de kik,","velo veshemen kik,",,
"וְלֹא בְשֶׁמֶן שְׂרֵפָה,","ni con aceite de teruma impura,","velo veshemen serefah,",,
"וְלֹא בְאַלְיָה,","ni con cola,","velo vealyah,",,
וְלֹא בְחֵלֶב.,ni con grasa.,velo vejelev.,,
"נַחוּם הַמָּדִי אוֹמֵר,",Najum el medo dice:,"najum hamadi omer,",,
מַדְלִיקִין בְּחֵלֶב מְבֻשָּׁל.,se enciende con grasa cocida.,madlikin bejelev mevushal.,,
"וַחֲכָמִים אוֹמְרִים,",Y los sabios dicen:,"vajajamim omrim,",,
אֶחָד מְבֻשָּׁל,tanto cocida,ejad mevushal,,
"וְאֶחָד שֶׁאֵינוֹ מְבֻשָּׁל,","como no cocida,","veejad sheeino mevushal,",,
אֵין מַדְלִיקִין בּוֹ:,no se enciende con ella.,ein madlikin bo:,,
אֵין מַדְלִיקִין בְּשֶׁמֶן,No se enciende,ein madlikin beshemen,,
שְׂרֵפָה בְּיוֹם טוֹב.,con aceite de teruma impura en Yom Tov.,serefah beyom tov.,,
"רַבִּי יִשְׁמָעֵאל אוֹמֵר,",Rabi Ishmael dice:,"rabi yishmael omer,",,
"אֵין מַדְלִיקִין בְּעִטְרָן,","no se enciende con alquitran,","ein madlikin beitran,",,
מִפְּנֵי כְבוֹד הַשַּׁבָּת.,por el honor del Shabat.,mipnei jevvod hashabat.,,
וַחֲכָמִים מַתִּירִין,Y los sabios permiten,vajajamim matirin,,
"בְּכָל הַשְּׁמָנִים,",con todos los aceites:,"bejal hashmanim,",,
"בְּשֶׁמֶן שֻׁמְשְׁמִין,","con aceite de sesamo,","beshemen shumshemin,",,
"בְּשֶׁמֶן אֱגוֹזִים,","con aceite de nueces,","beshemen egvozim,",,
"בְּשֶׁמֶן צְנוֹנוֹת,","con aceite de rabanos,","beshemen tzenvonvot,",,
"בְּשֶׁמֶן דָּגִים,","con aceite de pescado,","beshemen dagim,",,
"בְּשֶׁמֶן פַּקּוּעוֹת,","con aceite de calabaza silvestre,","beshemen pakuvot,",,
בְּעִטְרָן וּבְנֵפְט.,con alquitran y con nafta.,beitran uvneft.,,
"רַבִּי טַרְפוֹן אוֹמֵר,",Rabi Tarfon dice:,"rabi tarfvon omer,",,
אֵין מַדְלִיקִין אֶלָּא,no se enciende sino,ein madlikin ela,,
בְשֶׁמֶן זַיִת בִּלְבָד:,con aceite de oliva solamente.,veshemen zayit bilvad:,,
כָּל הַיּוֹצֵא מִן הָעֵץ,"Todo lo que sale del arbol,",kal hayvotze min haetz,,
אֵין מַדְלִיקִין בּוֹ,no se enciende con ello,ein madlikin bo,,
אֶלָּא פִשְׁתָּן.,salvo lino.,ela fishtan.,,
וְכָל הַיּוֹצֵא מִן הָעֵץ אֵינוֹ,Y todo lo que sale del arbol no,vejal hayvotze min haetz eino,,
