original,translation,phonetics,format,notes
אֵין כָּמוֹךָ,EIN KAMOCHA,,part,
Antes de abrir el arca se dice:,,,intro,
אֵין,No [hay],Ein,,
כָּמוֹךָ,como Tú,kamoja,,
בָאֱלהִים,[entre] los poderes,va-Elohim,,
אֲדנָי.,"Adonai,",Adonai,,
וְאֵין,y no [hay],ve-ein,,
כְּמַעֲשיךָ,como Tus obras.,ke-ma'asekha,,
מַלְכוּתְךָ,Tu reino,malkhutekha,,
מַלְכוּת,[es] reino,malkhut,,
כָּל עולָמִים.,[de] todos los mundos.,kol olamim,,
וּמֶמְשַׁלְתְּךָ,y Tu dominio,u-memsheltekha,,
בְּכָל,en toda,be-khol,,
דּור,generación,dor,,
וָדור.,y generación.,va-dor,,
,,,break,
ה',Hashem,Adonai,,
מֶלֶךְ.,[es] Rey.,melekh,,
ה',Hashem,Adonai,,
מָלָךְ.,reinó.,malakh,,
ה',Hashem,Adonai,,
יִמְלךְ,reinará,yimlokh,,
לְעולָם,por siempre,le-olam,,
וָעֶד.,y eternamente.,va-ed,,
ה',Hashem,Adonai,,
עז,fuerza,oz,,
לְעַמּו,a Su pueblo,le-amo,,
יִתֵּן.,dará.,yiten,,
ה',Hashem,Adonai,,
יְבָרֵךְ,bendecirá,yevarekh,,
אֶת עַמּו,a Su pueblo,et amo,,
בַשָּׁלום.,con paz.,va-shalom,,
,,,break,
אַב,Padre,Av,,
הָרַחֲמִים.,[de] las misericordias.,ha-rajamim,,
הֵיטִיבָה,Haz bien,heitiva,,
בִרְצונְךָ,con Tu voluntad,vi-retzonekha,,
אֶת צִיּון.,a Sion.,et Tziyon,,
תִּבְנֶה,construye,tivneh,,
חומות,los muros,jomot,,
יְרוּשָׁלָיִם.,[de] Jerusalén.,Yerushalayim,,
כִּי,Pues,ki,,
בְךָ,en Ti,vekha,,
לְבַד,solo,levad,,
בָּטָחְנוּ.,"confiamos,",batajnu,,
מֶלֶךְ,Rey,melekh,,
אֵל,Dios,El,,
רָם,elevado,ram,,
וְנִשּא,y exaltado,ve-nisa,,
אֲדון,Señor,Adon,,
עולָמִים.,[de los] mundos.,olamim,,
,,,break,
וַיְהִי בִּנְסעַ,VAYEHI BINSOA,,part,
Cuando se abre el arca santa se dice:,,,intro,
וַיְהִי,Y fue,va-yehi,,
בִּנְסעַ,al viajar,binsoa,,
הָאָרן,[el] arca,ha-aron,,
וַיּאמֶר,y dijo,va-yomer,,
משֶׁה.,"Moshé,",Moshe,,
קוּמָה,Levántate,kumah,,
ה',Hashem,Adonai,,
וְיָפֻצוּ,y serán dispersados,ve-yafutzu,,
איְבֶיךָ.,"Tus enemigos,",oyvekha,,
וְיָנֻסוּ,y huirán,ve-yanusu,,
מְשנְאֶיךָ,quienes Te odian,mesanekha,,
מִפָּנֶיךָ.,de delante de Ti.,mi-panekha,,
כִּי,Pues,ki,,
מִצִּיּון,de Sion,mi-Tziyon,,
תֵּצֵא,saldrá,tetze,,
תורָה.,"Torá,",Torah,,
וּדְבַר,y la palabra,u-devar,,
ה',de Hashem,Adonai,,
מִירוּשָׁלָיִם.,de Jerusalén.,mi-Yerushalayim,,
,,,break,
בָּרוּךְ,Bendito,barukh,,
שֶׁנָּתַן,[es] Quien dio,she-natan,,
תּורָה,Torá,Torah,,
לְעַמּו,a Su pueblo,le-amo,,
יִשרָאֵל,Israel,Yisrael,,
בִּקְדֻשָּׁתו:,en Su santidad.,bi-kdushato,,
