original,translation,phonetics,format,notes
יְדִיד נֶפֶשׁ,Amado del alma,,part,
"Fuente del texto hebreo: Sefaria, The Metsudah siddur, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente del texto hebreo: Sefaria, The Metsudah siddur, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
"Fuente auxiliar inglesa: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente auxiliar inglesa: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
יְדִיד,Amado de,yedid,,
נֶֽפֶשׁ,[el] alma,néfesh,,
אָב,Padre,av,,
הָרַחֲמָן.,misericordioso:,harajamán.,,
מְשׁוֹךְ,atrae a,meshoj,,
עַבְדְּ֒ךָ,Tu siervo,avdeja,,
אֶל,hacia,el,,
רְצוֹנֶֽךָ.,Tu voluntad.,retzoneja.,,
יָרוּץ,Correrá,yarutz,,
עַבְדְּ֒ךָ,Tu siervo,avdeja,,
כְּמוֹ,como,kemó,,
אַיָּל,[un] ciervo;,ayal,,
יִשְׁתַּחֲוֶה,se postrará,yishtajavé,,
אֶל,hacia,el,,
מוּל,frente a,mul,,
הֲדָרֶֽךָ.,Tu esplendor.,hadareja.,,
יֶעֱרַב,Será dulce,yeerav,,
לוֹ,para él,lo,,
יְדִידוֹתֶֽיךָ.,"Tu amor,",yedidoteija.,,
מִנֹּֽפֶת,más que [el] néctar de,minófet,,
צוּף,[la] miel,tzuf,,
וְכָל,y todo,vejal,,
טָֽעַם:,sabor.,táam:,,
,,,break,
הָדוּר,"Espléndido,",hadur,,
נָאֶה,"hermoso,",naé,,
זִיו,resplandor de,ziv,,
הָעוֹלָם.,[el] mundo:,haolam.,,
נַפְשִׁי,mi alma,nafshí,,
חוֹלַת,enferma [por],jolat,,
אַהֲבָתֶֽךָ.,Tu amor.,ahavateja.,,
אָֽנָּא,"Te ruego,",ana,,
אֵל,"Dios,",el,,
נָא,"por favor,",na,,
רְפָא,sana,refá,,
נָא,"por favor,",na,,
לָהּ.,"a ella,",lah.,,
בְּהַרְאוֹת,al mostrar,beharot,,
לָהּ,a ella,lah,,
נֹֽעַם,[la] dulzura de,nóam,,
זִיוֶֽךָ.,Tu resplandor.,ziveja.,,
אָז,Entonces,az,,
תִּתְחַזֵּק,se fortalecerá,titjazek,,
וְתִתְרַפֵּא.,"y se sanará,",vetitrapé.,,
וְהָיְ֒תָה,y habrá,vehoyta,,
לָהּ,para ella,lah,,
שִׂמְחַת,alegría de,simjat,,
עוֹלָם:,[la] eternidad.,olam:,,
,,,break,
וָתִיק,"Antiguo [de días],",vatik,,
יֶהֱמוּ,"que se conmuevan,",yehemú,,
נָא,"por favor,",na,,
רַחֲמֶֽיךָ,"Tus misericordias,",rajameija,,
וְחֽוּסָה,"y apiádate,",véjusa,,
נָא,"por favor,",na,,
עַל,por,al,,
בֵּן,[el] hijo,ben,,
אֲהוּבֶֽךָ.,amado Tuyo.,ahuveja.,,
כִּי,Pues,ki,,
זֶה,[esto],ze,,
כַּמָּה,cuánto [tiempo],kamá,,
נִכְסוֹף,anhelar,nijsof,,
נִכְסַפְתִּי,he anhelado,nijsaftí,,
לִרְאוֹת,ver,lirot,,
מְהֵרָה,pronto,meherá,,
בְּתִפְאֶֽרֶת,[la] gloria de,betiféret,,
עֻזֶּֽךָ.,Tu fuerza.,uzeja.,,
אֵֽלֶּה,Estas [cosas],ele,,
חָמְ֒דָה,deseó,jomda,,
לִבִּי,mi corazón;,libí,,
וְחֽוּסָה,"y apiádate,",véjusa,,
נָא,"por favor,",na,,
וְאַל,y no,veal,,
תִּתְעַלֵּם:,Te ocultes.,titalem:,,
,,,break,
הִגָּלֶה,"Revélate,",higalé,,
נָּא,"por favor,",na,,
וּפְרוֹס,"y extiende,",uferós,,
חֲבִיבִי,"Amado mío,",javiví,,
עָלַי,sobre mí,alay,,
אֶת,[la],et,,
סֻכַּת,tienda de,sukat,,
שְׁלוֹמֶֽךָ.,Tu paz.,shelomeja.,,
תָּאִיר,Que se ilumine,tair,,
אֶֽרֶץ,[la] tierra,éretz,,
מִכְּ֒בוֹדֶֽךָ.,con Tu gloria.,mikevodeja.,,
נָגִֽילָה,Regocijémonos,nagila,,
וְנִשְׂמְ֒חָה,y alegrémonos,venismeja,,
בָּךְ.,en Ti.,boj.,,
מַהֵר,Apresúrate,maher,,
אֶהֹב,"a amar,",ehov,,
כִּי,pues,ki,,
בָא,llegó,va,,
מוֹעֵד,"[el] tiempo,",moed,,
וְחָנֵּֽנוּ,y agrácianos,vejanenu,,
כִּימֵי,como [en los] días de,kiméi,,
עוֹלָם:,antaño.,olam:,,
