original,translation,phonetics,format,notes
אָנָּא בְּכֹֽחַ,ANA BEKÓAJ,,part,
"Fuente del texto hebreo: Sefaria, The Metsudah siddur, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente del texto hebreo: Sefaria, The Metsudah siddur, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
"Fuente auxiliar inglesa: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente auxiliar inglesa: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
אָנָּא,"Por favor,",aná,,
בְּכֹֽחַ,con [el] poder,bejoja,,
גְּדֻלַּת,[la] grandeza de,gedulat,,
יְמִינְ֒ךָ,"Tu diestra,",yeminja,,
תַּתִּיר,libera,tatir,,
צְרוּרָה:,a [la] cautiva.,tzerurá:,,
,,,break,
קַבֵּל,Acepta,kabel,,
רִנַּת,[el] canto de,rinat,,
עַמְּ֒ךָ,de Tu pueblo;,ameja,,
שַׂגְּ֒בֵֽנוּ,"elévanos,",sagevenu,,
טַהֲרֵֽנוּ,"purifícanos,",taharenu,,
נוֹרָא:,Temible.,norá:,,
,,,break,
נָא,"Por favor,",na,,
גִבּוֹר,"Poderoso,",gibor,,
דּוֹרְ֒שֵׁי,a quienes buscan,dorshei,,
יִחוּדְ֒ךָ,"Tu unidad,",yijudeja,,
כְּבָבַת,"como [la] pupila,",kevavat,,
שָׁמְרֵם:,guárdalos.,shomrem:,,
,,,break,
בָּרְ֒כֵם,"Bendícelos,",bórjem,,
טַהֲרֵם,"purifícalos,",taharem,,
רַחֲמֵם,compadécete de ellos;,rajamem,,
צִדְקָתְ֒ךָ,"[con] Tu justicia,",tzidkotja,,
תָּמִיד,siempre,tamid,,
גָּמְלֵם:,recompénsalos.,gomlem:,,
,,,break,
חֲסִין,"Fuerte,",jasín,,
קָדוֹשׁ,"Santo,",kadosh,,
בְּרֹב,con [la] abundancia de,berov,,
טוּבְ֒ךָ,"Tu bondad,",tuveja,,
נַהֵל,guía,nahel,,
עֲדָתֶֽךָ:,a Tu comunidad.,adateja:,,
,,,break,
יָחִיד,"Único,",yajid,,
גֵּאֶה,"Majestuoso,",geé,,
לְעַמְּ֒ךָ,hacia Tu pueblo,leameja,,
"פְּנֵה,","vuélvete,","pené,",,
זוֹכְ֒רֵי,quienes recuerdan,zojrei,,
קְדֻשָּׁתֶֽךָ:,Tu santidad.,kedushateja:,,
,,,break,
שַׁוְעָתֵֽנוּ,nuestro clamor,shavatenu,,
קַבֵּל,acepta,kabel,,
וּשְׁמַע,y escucha,ushemá,,
צַעֲקָתֵֽנוּ,"nuestro grito,",tzaakatenu,,
יוֹדֵֽעַ,Conocedor de,yodea,,
תַּעֲלוּמוֹת:,[lo] oculto.,taalumot:,,
,,,break,
בָּרוּךְ,Bendito [sea],barujé,,
שֵׁם,[el] Nombre de,shem,,
כְּבוֹד,[la] gloria de,kevod,,
מַלְכוּתוֹ,Su reino,maljutó,,
לְעוֹלָם,por siempre,leolam,,
וָעֶד:,y eternamente.,vaed:,,
